created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Oct 25 17:07:25 +0000 2023;1717226369132957898;"聴いたら絶対ニマニマだよー( ◜𖥦◝)♡ 無料なのでリンク先へGOして⭐️ポチっとお願いします(ㅅ´ ˘ `)  【🥀No.1最強イケボ／完全無料✨】風邪を引いてしまった彼氏の看病をしてくれる彼女とのイチャイチャボイス https://t.co/VSBxZfjHOs #ファンティア #Fantia #ASMR #シチュボ #イケボ #でぃあくん";0;0;0;1;ja;1355491009740763136;1717226369132957898;POO5007N;https://twitter.com/POO5007N/status/1717226369132957898
Wed Oct 25 17:00:00 +0000 2023;1717224503044968501;"Mommy iket ya?  For more https://t.co/VCGC6eQqq7  #asmr #asmrcewek #asmrdesah #desah #moancewe #moancewek #desahancewek #desahancewe #moanaudio #moancontent #asmrmoaning #asmrorgasm #desahansange #desahanmanja #desahannakal #moaningcewe #moanenak #nsfwaudio #sangebanget https://t.co/5SIR0mujPd";0;0;0;2;en;1663868905205698560;1717224503044968501;KanojoASMR;https://twitter.com/KanojoASMR/status/1717224503044968501
Wed Oct 25 17:00:00 +0000 2023;1717224501501399313;"InfoBerhadiah👉 https://t.co/36PoFVKOZm 👈  #Trending #viral #food #foodie #cooking #asmr #fyp #love #beautiful #happy #fun #nature #travel https://t.co/vOwTDuFVw9";0;0;0;0;in;1504256851189592064;1717224501501399313;ai_meland;https://twitter.com/ai_meland/status/1717224501501399313
Wed Oct 25 17:00:00 +0000 2023;1717224501069361188;"InfoBerhadiah👉 https://t.co/36PoFVKOZm 👈  #Trending #viral #food #foodie #cooking #asmr #fyp #love #beautiful #happy #fun #nature #travel https://t.co/RgEewJ6DTW";0;0;0;0;in;1504256851189592064;1717224501069361188;ai_meland;https://twitter.com/ai_meland/status/1717224501069361188
Wed Oct 25 16:58:05 +0000 2023;1717224018040737817;"Day 3 is beginning! Today I'm reading your cringe copypasta, doing tier list shenanigans, and spoiling you all with lots of slow, soft and whispery talking If you missed the outfit reveal yesterday, don't worry! I'm still dressed up for Halloween #Vtuber #subathon #ASMR";0;0;1;1;en;1639334254625554434;1717224018040737817;ImpiriaStreams;https://twitter.com/ImpiriaStreams/status/1717224018040737817
Wed Oct 25 16:57:36 +0000 2023;1717223896796270721;"No.1最強イケボ #でぃあくん ￣￣￣￣￣￣￣￣￣￣￣￣￣ 女性のための癒しボイス  ﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌  風邪を引いてしまった彼氏の看病をしてくれる彼女とイチャイチャする話  ！ 超 最 新 作 ！ https://t.co/ZUmqpw5a5P  #Fantia #癒し #VOICE #ASMR";0;0;0;0;ja;1027169036428165120;1717223896796270721;Paradise_U_xxx;https://twitter.com/Paradise_U_xxx/status/1717223896796270721
Wed Oct 25 16:56:34 +0000 2023;1717223637214707860;"Listen to how delicate they sound when they eat 😭 #ASMR  #Rescue #RescueDog #DogRescueSerbia #AnimalRescue #AnimalRescueSerbia #AnimalsInNeed #AdoptDontShop #AdoptAnimals #RescueDogUK #RescueDogsUK #RescueDogsOfInstagram #RescuePup #ILoveMyRescueDog #MyFavoriteBreedIsRescued https://t.co/LHzu0RaHUZ";0;0;0;0;en;1692481815594864640;1717223637214707860;whispaws_rescue;https://twitter.com/whispaws_rescue/status/1717223637214707860
Wed Oct 25 16:51:19 +0000 2023;1717222318752387264;"【ASMR/男性向け】高速でシコシコ囁く【耳元/囁き/ゼロ距離/オノマトペ】#asmr  #囁き #オノマトペ  #シコシコ  #耳元 #囁き ... https://t.co/8TUAJW9rdS @YouTubeより  草";0;0;0;0;ja;789408120124547072;1717222318752387264;krousagi_5116;https://twitter.com/krousagi_5116/status/1717222318752387264
Wed Oct 25 16:50:10 +0000 2023;1717222027281432749;"Witch turns you into a Cat… now where have I seen this before? ichita copita magica mystica #ASMR #youtube #upload https://t.co/8g9ASktux5";0;0;0;0;en;1228725986981752832;1717222027281432749;AlyKatsTingles;https://twitter.com/AlyKatsTingles/status/1717222027281432749
Wed Oct 25 16:50:07 +0000 2023;1717222014245917001;"剥くけど食うんだw  How do you eat a banana? #gorilla #asmr #mukbang #eating https://t.co/vtNhM7Sb0l @YouTubeより";0;0;0;0;ja;1664299363986976768;1717222014245917001;kura_mune;https://twitter.com/kura_mune/status/1717222014245917001
